scenario_id,model_type,strategy,step,labeled_count,val_r2_avg,val_loss,elapsed_s,val_r2_ts_0_0,val_rmse_ts_0_0,val_r2_ts_0_1,val_rmse_ts_0_1,val_r2_ts_1_0,val_rmse_ts_1_0
v2ts_b_medium,vector_to_time_series,random,0,99,0.03391077810692094,1.0766526317596437,16.24,0.42054288652466987,0.8032628356626712,0.45792395146821696,0.7693483979160018,0.6989238819344962,0.5075484463195022
v2ts_b_medium,vector_to_time_series,random,1,163,0.09407602649535235,1.0126471519470215,8.07,0.6842131930185594,0.5929854205488209,0.6872533049573315,0.584371879295092,0.6508850655977856,0.5465420261396435
v2ts_b_medium,vector_to_time_series,random,2,227,0.18629153924503739,0.914217529296875,5.13,0.7323615424607286,0.5459102941961553,0.8386371060455443,0.4197539402176161,0.8691451550649814,0.3346064068612033
v2ts_b_medium,vector_to_time_series,random,3,291,0.1496333171189391,0.9540026903152465,4.77,0.7180349446249161,0.5603310241396143,0.7953582241433121,0.47270488723221205,0.801484005934129,0.41213272457141703
v2ts_b_medium,vector_to_time_series,random,4,355,0.21030505673476949,0.8837628507614136,5.97,0.7013032485783917,0.5767163638919427,0.8503150052205366,0.4042798331138548,0.8330522130434845,0.37794593792057685
v2ts_b_medium,vector_to_time_series,random,5,419,0.2340840342377873,0.863357801437378,3.38,0.7416096364196947,0.5363955685099303,0.7906749718363726,0.47808324505431443,0.753448156772316,0.4592968592065442
v2ts_b_medium,vector_to_time_series,random,6,483,0.3130024652244085,0.7700741291046143,9.69,0.7157161646616281,0.5626302878987386,0.8214796851605781,0.44150615918176106,0.8663383933401548,0.33817592558911413
v2ts_b_medium,vector_to_time_series,random,7,547,0.3473998590798443,0.7343428945541381,3.86,0.7571378559729516,0.5200282502296655,0.8272325932806321,0.4343340241045533,0.8273354004433666,0.3843624930593024
v2ts_b_medium,vector_to_time_series,random,8,611,0.3239466270766961,0.7591944169998169,9.14,0.7495126518787415,0.5281288863869255,0.8431573029024617,0.41383297720811374,0.8699853877059766,0.3335304054383029
v2ts_b_medium,vector_to_time_series,huds,0,99,0.046310622629524706,1.0633463859558105,10.06,0.4534250981382819,0.7801387811089231,0.4853664992147443,0.7496213917156375,0.6560426141154261,0.542489914499663
v2ts_b_medium,vector_to_time_series,huds,1,163,0.1038516175159688,1.0044014739990235,9.05,0.7272650613438951,0.5510835064255486,0.7864882865875605,0.4828406182636681,0.8250965405557613,0.3868463900973676
v2ts_b_medium,vector_to_time_series,huds,2,227,0.14378648873591535,0.9568302202224731,3.98,0.6056483464481757,0.6626571034434993,0.7746392130406581,0.49605761369882023,0.8104269579277033,0.4027426639540134
v2ts_b_medium,vector_to_time_series,huds,3,291,0.20751184352605606,0.8863711977005004,11.09,0.6980346746150986,0.5798632197074857,0.8247400274908663,0.43745593609545136,0.8174822383368623,0.3951772328240379
v2ts_b_medium,vector_to_time_series,huds,4,355,0.22184849657087,0.8762532663345337,6.12,0.6939675602918138,0.5837551929419973,0.827864079173495,0.4335395255901181,0.8296480958071691,0.3817797111220189
v2ts_b_medium,vector_to_time_series,huds,5,419,0.2592254089414212,0.8355520820617676,3.91,0.702067791063919,0.5759778110476271,0.8183255174883757,0.4453894343712948,0.8150536669414434,0.39779764822065516
v2ts_b_medium,vector_to_time_series,huds,6,483,0.28170190049851557,0.8080432796478272,5.94,0.7296241702221885,0.548694942717652,0.8537584666898351,0.3996026047370348,0.8616226268063564,0.3440898721133526
v2ts_b_medium,vector_to_time_series,huds,7,547,0.2845509592928664,0.8005229377746582,4.99,0.74100018682158,0.5370277777045306,0.860261885527017,0.3906163197510419,0.8935075756253973,0.30185523064699726
v2ts_b_medium,vector_to_time_series,huds,8,611,0.2861269646721363,0.7996834182739258,8.87,0.7344087080790145,0.5438184534389087,0.8522985096840703,0.4015923055331686,0.9066596816720667,0.28260119086280583
