scenario_id,model_type,strategy,step,labeled_count,val_r2_avg,val_loss,elapsed_s,val_r2_y_0,val_rmse_y_0,val_r2_y_1,val_rmse_y_1,val_r2_y_2,val_rmse_y_2
v2v_b_medium,vector_to_vector,random,0,99,0.8512533765929181,0.14672088861465454,6.6,0.8442996386463077,0.4081061703471216,0.8622567156374056,0.36777968690711027,0.847203775495041,0.3719544706653588
v2v_b_medium,vector_to_vector,random,1,163,0.9538332656594745,0.04551104843616485,4.64,0.9546856935779429,0.22016385421073764,0.951844300647387,0.21745849042470514,0.9549698027530936,0.20192281684899133
v2v_b_medium,vector_to_vector,random,2,227,0.9720018850813202,0.027629504203796385,4.3,0.972820218151236,0.17051058099469557,0.9690107625274339,0.17444477531504698,0.9741746745652909,0.15291721254719967
v2v_b_medium,vector_to_vector,random,3,291,0.9793203008266715,0.020441568493843078,2.44,0.9790624408343308,0.14965505010823152,0.9776235620934488,0.14823405804105608,0.981274899552235,0.1302103629466113
v2v_b_medium,vector_to_vector,random,4,355,0.9849463400274319,0.014881622269749642,3.9,0.9843608673443129,0.12934054381490348,0.9845135255531151,0.1233186613771213,0.9859646271848679,0.11273154210615877
v2v_b_medium,vector_to_vector,random,5,419,0.9880889669924358,0.011785759590566158,3.5,0.9877663264408338,0.1143949346976716,0.9870194908073688,0.112901155353421,0.9894810837291045,0.09759306789372184
v2v_b_medium,vector_to_vector,random,6,483,0.9893747399601104,0.010521095395088196,2.97,0.9884521692288591,0.11114208922466778,0.9894855240863002,0.10161231290706182,0.9901865265651719,0.09426377911246646
v2v_b_medium,vector_to_vector,random,7,547,0.9913916294375861,0.008501977249979973,4.3,0.9908639753688543,0.09885689868779506,0.9918721592131906,0.08933880017580584,0.9914387537307131,0.08804444626224417
v2v_b_medium,vector_to_vector,random,8,611,0.9918246788845076,0.008093933500349522,1.92,0.9914448987595904,0.09566232404706466,0.9912502394787738,0.09269378260526866,0.9927788984151587,0.08086027215199368
v2v_b_medium,vector_to_vector,huds,0,99,0.8615583177812799,0.13642940819263458,4.57,0.8524167693780943,0.39732588309275574,0.8825020144718101,0.3396782443031576,0.849756169493935,0.3688347190260181
v2v_b_medium,vector_to_vector,huds,1,163,0.9492506692595596,0.05000535145401955,4.21,0.9516143616813998,0.22750271730648358,0.9449124486844426,0.2325836896196754,0.9512251974128364,0.2101508890085491
v2v_b_medium,vector_to_vector,huds,2,227,0.9744566603831505,0.02516140304505825,4.84,0.9780544187109974,0.15321521511931882,0.9673984977121272,0.1789251245354907,0.9779170647263269,0.14140405740920423
v2v_b_medium,vector_to_vector,huds,3,291,0.980190993223054,0.019472541511058806,3.7,0.9835502712418931,0.13265014268848185,0.9750745395527569,0.1564494773238148,0.981948168874512,0.12784804826070328
v2v_b_medium,vector_to_vector,huds,4,355,0.9839629892421304,0.01579842368140817,2.94,0.9858103912878079,0.12320080930390448,0.9803671317904044,0.13884952466306613,0.9857114446481788,0.11374377353135173
v2v_b_medium,vector_to_vector,huds,5,419,0.9875338475382941,0.01228767031803727,5.9,0.9886623645381738,0.11012593162241617,0.9851250391014511,0.12085940116565681,0.9888141389752573,0.10063943293995084
v2v_b_medium,vector_to_vector,huds,6,483,0.9895034586245176,0.010358870476484299,2.77,0.9899754405711056,0.10355259777144844,0.9880071173018324,0.10852113183104245,0.9905278180006152,0.0926101288465932
v2v_b_medium,vector_to_vector,huds,7,547,0.9907060601573975,0.009183054976165294,2.06,0.9907051280808294,0.09971260347052385,0.9898482574296711,0.09984419500774344,0.9915647949616918,0.08739393477828408
v2v_b_medium,vector_to_vector,huds,8,611,0.9913211755868113,0.008567730486392975,3.97,0.9913314534083634,0.09629450272479405,0.9907921047776904,0.095089531150241,0.9918399685743802,0.08595663134112086
